epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,308.6,0.76052,0.51363,1.12648,0.99446,1,0.995,0.82593,0.77129,0.60532,0.9317,0.00183368,0.00183368,0.00183368
44,315.025,0.7151,0.49355,1.10015,0.86586,0.98,0.98288,0.75898,1.08456,1.26053,1.19718,0.00182972,0.00182972,0.00182972
45,321.493,0.73531,0.50942,1.13703,0.99224,1,0.995,0.83481,0.7993,0.87343,0.99657,0.00182576,0.00182576,0.00182576
46,328.019,0.74107,0.52042,1.12591,0.99594,1,0.995,0.8474,0.67252,0.43143,0.91553,0.0018218,0.0018218,0.0018218
47,334.533,0.70118,0.48657,1.09791,0.99868,1,0.995,0.83589,0.6205,0.4038,0.85023,0.00181784,0.00181784,0.00181784
48,341.004,0.69492,0.4959,1.1092,0.99857,1,0.995,0.83062,0.74382,0.42895,0.97422,0.00181388,0.00181388,0.00181388
49,347.459,0.67852,0.45205,1.12383,0.99831,1,0.995,0.87666,0.52016,0.33892,0.81841,0.00180992,0.00180992,0.00180992
50,353.956,0.68109,0.46395,1.0977,0.7246,1,0.83104,0.60718,1.00867,0.79394,1.12996,0.00180596,0.00180596,0.00180596
51,360.424,0.66031,0.46465,1.09324,0.99546,1,0.995,0.66493,1.07195,0.48596,1.13634,0.001802,0.001802,0.001802
52,366.919,0.70392,0.47022,1.10678,0.99874,1,0.995,0.75938,1.00695,0.42882,1.17682,0.00179804,0.00179804,0.00179804
53,373.821,0.71999,0.46344,1.12245,0.99853,1,0.995,0.80539,0.77058,0.34513,0.99603,0.00179408,0.00179408,0.00179408
54,380.443,0.72567,0.48335,1.11804,0.99869,1,0.995,0.81824,0.77752,0.53627,0.92935,0.00179012,0.00179012,0.00179012
55,387.017,0.65279,0.4407,1.08034,0.99858,1,0.995,0.7607,0.97947,0.42581,1.27037,0.00178616,0.00178616,0.00178616
56,393.628,0.67159,0.45956,1.1053,0.99879,1,0.995,0.78939,0.89207,0.42076,1.02015,0.0017822,0.0017822,0.0017822
57,400.203,0.67203,0.47095,1.11665,0.86106,0.78,0.85586,0.33548,1.95199,1.47059,2.35824,0.00177824,0.00177824,0.00177824
58,406.844,0.65629,0.46974,1.07029,0.19803,0.54,0.19902,0.06157,2.70038,1.86337,2.95,0.00177428,0.00177428,0.00177428
59,413.41,0.67301,0.4586,1.09309,1,0.99321,0.995,0.71563,1.02077,0.63344,1.04447,0.00177032,0.00177032,0.00177032
60,426.128,0.68791,0.44932,1.1282,0.99228,0.98,0.99461,0.72985,1.05275,0.54312,1.16,0.00176636,0.00176636,0.00176636
61,432.742,0.67453,0.43612,1.10342,0.98758,0.96,0.99103,0.76718,0.98994,0.6498,1.19239,0.0017624,0.0017624,0.0017624
62,439.324,0.73574,0.49314,1.10708,0.88911,0.96217,0.98374,0.77655,0.84625,0.75824,1.06053,0.00175844,0.00175844,0.00175844
63,445.883,0.66308,0.43874,1.08465,0.98897,1,0.995,0.82714,0.86786,0.46815,1.04029,0.00175448,0.00175448,0.00175448
64,452.474,0.64129,0.44222,1.07455,0.99866,1,0.995,0.78615,0.9717,0.47268,1.20161,0.00175052,0.00175052,0.00175052
65,459.151,0.66165,0.44672,1.08009,0.99877,1,0.995,0.84549,0.72893,0.35084,0.93006,0.00174656,0.00174656,0.00174656
66,465.696,0.66012,0.42279,1.09235,0.9982,1,0.995,0.72459,0.98991,0.43637,1.11775,0.0017426,0.0017426,0.0017426
67,472.293,0.68607,0.44232,1.09161,0.99881,1,0.995,0.74892,1.04393,0.5028,1.16607,0.00173864,0.00173864,0.00173864
68,478.89,0.69567,0.4639,1.12561,0.99887,1,0.995,0.79544,0.96854,0.46974,1.06144,0.00173468,0.00173468,0.00173468
69,485.436,0.65681,0.42803,1.10708,0.99891,1,0.995,0.83185,0.77807,0.37198,0.9661,0.00173072,0.00173072,0.00173072
70,492.088,0.65134,0.43171,1.11063,0.99396,1,0.995,0.84335,0.72545,0.36632,0.89793,0.00172676,0.00172676,0.00172676
71,498.711,0.62195,0.42872,1.06815,0.99866,1,0.995,0.81454,0.80731,0.33813,0.93749,0.0017228,0.0017228,0.0017228
72,505.323,0.63187,0.44866,1.08164,0.9988,1,0.995,0.86581,0.63196,0.29353,0.84743,0.00171884,0.00171884,0.00171884
73,511.919,0.67089,0.43233,1.05752,0.99884,1,0.995,0.87553,0.55947,0.33383,0.82474,0.00171488,0.00171488,0.00171488
74,518.507,0.66191,0.41912,1.07407,0.99848,1,0.995,0.86557,0.62636,0.37521,0.82678,0.00171092,0.00171092,0.00171092
75,525.103,0.62273,0.41684,1.07073,0.99831,1,0.995,0.79843,0.87589,0.44209,1.06025,0.00170696,0.00170696,0.00170696
76,531.671,0.62442,0.40767,1.05388,0.99884,1,0.995,0.76249,1.01315,0.40348,1.30649,0.001703,0.001703,0.001703
77,538.239,0.62018,0.42368,1.07528,0.99886,1,0.995,0.74213,1.10838,0.4151,1.31727,0.00169904,0.00169904,0.00169904
78,544.753,0.61721,0.43614,1.06729,0.99881,1,0.995,0.80136,0.79323,0.33914,1.05149,0.00169508,0.00169508,0.00169508
79,551.371,0.64761,0.39248,1.04679,0.99882,1,0.995,0.77547,0.91525,0.3778,1.09289,0.00169112,0.00169112,0.00169112
80,563.955,0.63355,0.4017,1.07043,0.99885,1,0.995,0.84896,0.69957,0.32393,0.93336,0.00168716,0.00168716,0.00168716
81,570.488,0.63915,0.40416,1.07388,0.99876,1,0.995,0.74997,0.96071,0.41525,1.08327,0.0016832,0.0016832,0.0016832
82,577.066,0.59236,0.3739,1.0718,0.99883,1,0.995,0.88553,0.57918,0.31204,0.80366,0.00167924,0.00167924,0.00167924
83,583.606,0.66082,0.4166,1.10535,0.99865,1,0.995,0.83441,0.73177,0.36404,0.94414,0.00167528,0.00167528,0.00167528
84,590.061,0.60617,0.38361,1.04181,0.99873,1,0.995,0.8321,0.67855,0.38996,0.94312,0.00167132,0.00167132,0.00167132
85,596.584,0.65442,0.4115,1.08906,0.99878,1,0.995,0.80577,0.8432,0.43691,1.03306,0.00166736,0.00166736,0.00166736
86,603.206,0.65677,0.42586,1.08089,0.99904,1,0.995,0.76799,0.91047,0.39828,1.00887,0.0016634,0.0016634,0.0016634
87,609.803,0.62128,0.40254,1.05776,0.99876,1,0.995,0.83466,0.72293,0.36224,0.94555,0.00165944,0.00165944,0.00165944
88,616.403,0.65899,0.41648,1.1062,0.99873,1,0.995,0.81647,0.69006,0.33233,0.89067,0.00165548,0.00165548,0.00165548
89,622.925,0.68522,0.42237,1.08762,0.99872,1,0.995,0.78607,0.812,0.40112,0.9821,0.00165152,0.00165152,0.00165152
90,629.549,0.65819,0.42025,1.08849,0.99862,1,0.995,0.78774,0.80778,0.45475,0.99237,0.00164756,0.00164756,0.00164756
91,636.097,0.64946,0.42085,1.06308,0.99877,1,0.995,0.76904,0.98273,0.4339,1.1568,0.0016436,0.0016436,0.0016436
92,642.778,0.63482,0.39312,1.07321,0.99877,1,0.995,0.89571,0.61226,0.36042,0.83184,0.00163964,0.00163964,0.00163964
93,649.373,0.59048,0.3652,1.03742,0.99883,1,0.995,0.90215,0.54248,0.32743,0.79341,0.00163568,0.00163568,0.00163568
94,655.998,0.61734,0.3768,1.04955,0.99886,1,0.995,0.89431,0.49122,0.33629,0.7675,0.00163172,0.00163172,0.00163172
95,662.553,0.61516,0.39347,1.04593,0.99763,1,0.995,0.85433,0.64483,0.34166,0.84324,0.00162776,0.00162776,0.00162776
96,669.141,0.62181,0.37373,1.06951,0.99654,1,0.995,0.90351,0.48167,0.33097,0.72109,0.0016238,0.0016238,0.0016238
97,675.747,0.6069,0.37693,1.07718,0.99643,1,0.995,0.87476,0.52643,0.32783,0.77783,0.00161984,0.00161984,0.00161984
98,682.415,0.53132,0.35224,1.02453,0.99603,1,0.995,0.87294,0.54413,0.31346,0.79187,0.00161588,0.00161588,0.00161588
99,689.085,0.5869,0.3803,1.0508,0.99618,1,0.995,0.89046,0.49113,0.335,0.7696,0.00161192,0.00161192,0.00161192
100,701.814,0.60274,0.39448,1.04814,0.99879,1,0.995,0.88354,0.55232,0.34116,0.76814,0.00160796,0.00160796,0.00160796
101,708.333,0.59767,0.40424,1.05336,0.99866,1,0.995,0.87481,0.59068,0.33144,0.78296,0.001604,0.001604,0.001604
102,714.888,0.58812,0.3817,1.03626,0.99822,1,0.995,0.7828,0.88514,0.45085,1.06724,0.00160004,0.00160004,0.00160004
103,721.408,0.59099,0.36762,1.04889,0.99768,1,0.995,0.73346,1.06424,0.56442,1.14796,0.00159608,0.00159608,0.00159608
104,727.965,0.66166,0.40389,1.05146,0.99741,1,0.995,0.8053,0.83503,0.46572,1.04203,0.00159212,0.00159212,0.00159212
105,734.485,0.60924,0.38036,1.03925,0.99797,1,0.995,0.82183,0.67155,0.40373,0.91407,0.00158816,0.00158816,0.00158816
106,741.023,0.58608,0.35364,1.03913,0.99872,1,0.995,0.73828,0.91476,0.42161,1.05694,0.0015842,0.0015842,0.0015842
107,747.586,0.57117,0.36856,1.03552,0.99874,1,0.995,0.56635,1.61509,0.79617,1.76977,0.00158024,0.00158024,0.00158024
108,754.178,0.56977,0.36515,1.02824,0.99861,1,0.995,0.62104,1.36931,0.65418,1.58549,0.00157628,0.00157628,0.00157628
109,760.75,0.55689,0.33987,1.0421,0.99877,1,0.995,0.66163,1.28535,0.49302,1.42735,0.00157232,0.00157232,0.00157232
110,767.319,0.59845,0.3787,1.04999,0.9988,1,0.995,0.65187,1.50105,0.60927,1.61033,0.00156836,0.00156836,0.00156836
111,773.883,0.60882,0.38693,1.0876,0.99828,1,0.995,0.61274,1.59708,0.67849,1.62869,0.0015644,0.0015644,0.0015644
112,780.452,0.62262,0.38071,1.03983,0.99872,1,0.995,0.80182,0.97347,0.44792,1.07893,0.00156044,0.00156044,0.00156044
113,787.028,0.58601,0.36378,1.04571,0.99881,1,0.995,0.90162,0.55021,0.33441,0.80154,0.00155648,0.00155648,0.00155648
114,793.55,0.56238,0.36468,1.03198,0.99539,1,0.995,0.83889,0.76617,0.45016,0.92689,0.00155252,0.00155252,0.00155252
115,800.09,0.54127,0.34975,1.01607,0.99882,1,0.995,0.74555,1.01461,0.49212,1.11412,0.00154856,0.00154856,0.00154856
116,806.653,0.59338,0.38942,1.03588,0.99878,1,0.995,0.70733,1.05733,0.55023,1.13591,0.0015446,0.0015446,0.0015446
117,813.153,0.59638,0.37846,1.06844,0.99886,1,0.995,0.80216,0.89626,0.44442,1.04763,0.00154064,0.00154064,0.00154064
118,819.697,0.56282,0.36774,1.02668,0.99879,1,0.995,0.76187,1.02251,0.51937,1.20888,0.00153668,0.00153668,0.00153668
119,826.336,0.59011,0.36959,1.03496,0.99635,1,0.995,0.88921,0.55665,0.36807,0.77378,0.00153272,0.00153272,0.00153272
120,839.055,0.58687,0.3516,1.05685,0.99598,1,0.995,0.87603,0.59729,0.3923,0.84539,0.00152876,0.00152876,0.00152876
121,845.531,0.5847,0.37415,1.04664,0.99881,1,0.995,0.87351,0.62043,0.35297,0.84249,0.0015248,0.0015248,0.0015248
122,852.026,0.58228,0.353,1.03383,0.99886,1,0.995,0.90467,0.48689,0.33877,0.73843,0.00152084,0.00152084,0.00152084
123,858.536,0.53711,0.33716,1.01629,0.99887,1,0.995,0.91356,0.45572,0.29439,0.70426,0.00151688,0.00151688,0.00151688
124,865.078,0.59143,0.3792,1.0464,0.99879,1,0.995,0.89952,0.53264,0.33447,0.79213,0.00151292,0.00151292,0.00151292
125,871.554,0.56263,0.36737,1.03108,0.99852,1,0.995,0.86409,0.63427,0.37028,0.84523,0.00150896,0.00150896,0.00150896
126,878.084,0.57696,0.36121,1.0309,0.99837,1,0.995,0.87819,0.60599,0.37158,0.82608,0.001505,0.001505,0.001505
127,884.628,0.59073,0.35534,1.05244,0.99879,1,0.995,0.9095,0.58017,0.39666,0.84165,0.00150104,0.00150104,0.00150104
128,891.181,0.576,0.3595,1.04464,0.99884,1,0.995,0.87478,0.6423,0.38414,0.86862,0.00149708,0.00149708,0.00149708
129,897.722,0.55091,0.34627,1.01772,0.99881,1,0.995,0.8828,0.63445,0.3961,0.88576,0.00149312,0.00149312,0.00149312
130,904.184,0.60664,0.38022,1.05601,0.99876,1,0.995,0.8518,0.71505,0.37557,0.91023,0.00148916,0.00148916,0.00148916
131,910.718,0.59611,0.37243,1.0589,0.99877,1,0.995,0.81782,0.78611,0.37188,0.91419,0.0014852,0.0014852,0.0014852
132,917.26,0.53624,0.33009,1.02976,0.99881,1,0.995,0.8538,0.64055,0.33274,0.8366,0.00148124,0.00148124,0.00148124
133,923.845,0.54317,0.34112,1.03834,0.99883,1,0.995,0.84186,0.7261,0.34639,0.86036,0.00147728,0.00147728,0.00147728
134,930.557,0.53291,0.35174,1.01637,0.99886,1,0.995,0.89913,0.5144,0.24962,0.72449,0.00147332,0.00147332,0.00147332
135,937.22,0.53973,0.33409,1.02153,0.99885,1,0.995,0.886,0.5936,0.34972,0.78622,0.00146936,0.00146936,0.00146936
136,943.697,0.52096,0.3416,1.02705,0.99862,1,0.995,0.84321,0.70595,0.30712,0.92827,0.0014654,0.0014654,0.0014654
137,950.174,0.52747,0.33447,1.01181,0.99875,1,0.995,0.86603,0.64258,0.28879,0.87866,0.00146144,0.00146144,0.00146144
138,956.655,0.52925,0.31691,1.04561,0.97992,0.9763,0.99347,0.81688,0.68972,0.36076,0.90368,0.00145748,0.00145748,0.00145748
139,963.195,0.5457,0.33811,1.03609,0.98039,0.94,0.98915,0.79277,0.85665,0.42416,1.08314,0.00145352,0.00145352,0.00145352
140,975.69,0.54603,0.33506,1.01275,0.96068,0.98,0.99195,0.8065,0.75722,0.37313,1.00467,0.00144956,0.00144956,0.00144956
141,982.148,0.55719,0.34092,1.03635,0.91791,0.89465,0.96835,0.72014,1.01812,0.61477,1.17851,0.0014456,0.0014456,0.0014456
142,988.751,0.52179,0.32006,1.0082,0.84961,0.9,0.93929,0.66256,1.11905,0.7485,1.30437,0.00144164,0.00144164,0.00144164
143,995.284,0.53231,0.33209,1.0248,0.99879,1,0.995,0.90909,0.52721,0.31734,0.8583,0.00143768,0.00143768,0.00143768
144,1001.69,0.54268,0.34249,1.02389,0.99879,1,0.995,0.89131,0.57681,0.36101,0.77661,0.00143372,0.00143372,0.00143372
145,1008.18,0.52941,0.33145,1.02655,0.99885,1,0.995,0.90236,0.56388,0.35232,0.79248,0.00142976,0.00142976,0.00142976
146,1014.69,0.57329,0.34825,1.04047,0.99885,1,0.995,0.86266,0.66594,0.30733,0.81929,0.0014258,0.0014258,0.0014258
147,1021.16,0.55417,0.34552,1.04036,0.99886,1,0.995,0.92836,0.44647,0.29355,0.67746,0.00142184,0.00142184,0.00142184
148,1027.6,0.57997,0.37416,1.03575,0.99887,1,0.995,0.89017,0.54494,0.28425,0.77175,0.00141788,0.00141788,0.00141788
149,1034.04,0.55537,0.35773,1.01926,0.9988,1,0.995,0.85034,0.62769,0.35274,0.76346,0.00141392,0.00141392,0.00141392
150,1040.49,0.53977,0.34771,1.02226,0.99871,1,0.995,0.74012,1.05811,0.38237,1.1814,0.00140996,0.00140996,0.00140996
151,1046.95,0.53711,0.34663,1.03574,0.99872,1,0.995,0.80029,0.83546,0.33466,0.96344,0.001406,0.001406,0.001406
152,1053.4,0.53818,0.34154,1.02589,0.99879,1,0.995,0.81142,0.69343,0.32379,0.85192,0.00140204,0.00140204,0.00140204
153,1059.87,0.58332,0.35704,1.04359,0.99867,1,0.995,0.69023,1.04971,0.44392,1.18465,0.00139808,0.00139808,0.00139808
154,1066.34,0.57261,0.33875,1.0533,0.99843,1,0.995,0.80774,0.80793,0.34096,0.98966,0.00139412,0.00139412,0.00139412
155,1072.8,0.53029,0.34369,1.01603,0.9988,1,0.995,0.74042,0.98766,0.40061,1.12537,0.00139016,0.00139016,0.00139016
156,1079.21,0.55607,0.36225,1.02874,0.99862,1,0.995,0.8124,0.76549,0.36311,0.97735,0.0013862,0.0013862,0.0013862
157,1085.66,0.55983,0.36466,1.01511,0.99876,1,0.995,0.81446,0.80704,0.35747,1.0018,0.00138224,0.00138224,0.00138224
158,1092.15,0.53668,0.33697,1.01673,0.99878,1,0.995,0.89041,0.62073,0.34952,0.85673,0.00137828,0.00137828,0.00137828
159,1098.62,0.51341,0.33378,1.00416,0.99882,1,0.995,0.90004,0.69522,0.62791,0.88912,0.00137432,0.00137432,0.00137432
160,1111.08,0.55024,0.34633,1.01192,0.99876,1,0.995,0.86049,0.77035,0.45124,0.8875,0.00137036,0.00137036,0.00137036
161,1117.52,0.5109,0.334,1.01207,0.99835,1,0.995,0.88628,0.61419,0.39108,0.8111,0.0013664,0.0013664,0.0013664
162,1123.99,0.52302,0.33829,1.01047,0.99818,1,0.995,0.90567,0.61075,0.40913,0.85391,0.00136244,0.00136244,0.00136244
163,1130.5,0.5252,0.32644,0.99808,0.99857,1,0.995,0.89969,0.55453,0.3239,0.77962,0.00135848,0.00135848,0.00135848
164,1136.96,0.51725,0.31038,1.01418,0.99878,1,0.995,0.85073,0.69047,0.36278,0.86089,0.00135452,0.00135452,0.00135452
165,1143.44,0.52285,0.32004,0.99068,0.99879,1,0.995,0.82012,0.80903,0.38777,0.97677,0.00135056,0.00135056,0.00135056
166,1149.87,0.50663,0.32585,0.9969,0.99879,1,0.995,0.86965,0.62043,0.34542,0.82987,0.0013466,0.0013466,0.0013466
167,1156.26,0.50577,0.32091,0.99906,0.99886,1,0.995,0.89384,0.5671,0.32509,0.80669,0.00134264,0.00134264,0.00134264
168,1162.7,0.52169,0.32458,1.02085,0.9989,1,0.995,0.86666,0.61652,0.32887,0.79689,0.00133868,0.00133868,0.00133868
